,X,Y,U,V,Sig_x,Sig_y,Sig_xy
535,3.0,0.5,0.0384695,-0.00271769,0.867658,-0.12036500000000001,-0.00799758
536,3.0999999046325684,0.5,0.039769900000000004,-0.00270809,0.8693350000000001,-0.11851500000000001,-0.00822851
537,3.200000047683716,0.5,0.0410719,-0.00269799,0.8710600000000001,-0.116578,-0.00845571
538,3.299999952316284,0.5,0.042375499999999997,-0.00268735,0.8728309999999999,-0.114554,-0.00867901
539,3.4000000953674316,0.5,0.0436809,-0.00267617,0.874648,-0.11243800000000001,-0.00889826
540,3.5,0.5,0.044988,-0.00266441,0.876511,-0.110229,-0.00911327
541,3.5999999046325684,0.5,0.0462968,-0.00265207,0.8784190000000001,-0.107923,-0.00932389
542,3.700000047683716,0.5,0.0476074,-0.00263911,0.8803690000000001,-0.105519,-0.00952994
543,3.799999952316284,0.5,0.048919800000000006,-0.00262551,0.8823629999999999,-0.10301199999999999,-0.00973122
544,3.9000000953674316,0.5,0.050234,-0.00261125,0.8843979999999999,-0.100399,-0.00992755
545,4.0,0.5,0.05155,-0.00259631,0.886474,-0.09767819999999999,-0.010118799999999999
546,4.099999904632568,0.5,0.052867899999999995,-0.00258065,0.88859,-0.0948455,-0.0103046
547,4.199999809265137,0.5,0.054187599999999995,-0.00256426,0.8907440000000001,-0.0918977,-0.010484899999999998
548,4.300000190734863,0.5,0.0555091,-0.0025471,0.892935,-0.0888313,-0.0106595
549,4.400000095367432,0.5,0.05683250000000001,-0.00252914,0.8951629999999999,-0.0856426,-0.0108281
550,4.5,0.5,0.0581577,-0.00251036,0.8974260000000001,-0.082328,-0.0109905
551,4.599999904632568,0.5,0.0594847,-0.00249073,0.8997229999999999,-0.0788836,-0.011146399999999999
552,4.699999809265137,0.5,0.060813599999999995,-0.00247022,0.9020520000000001,-0.0753056,-0.0112957
553,4.800000190734863,0.5,0.062144200000000004,-0.00244879,0.9044129999999999,-0.07158989999999998,-0.0114381
554,4.900000095367432,0.5,0.0634767,-0.00242641,0.906803,-0.0677323,-0.0115734
555,5.0,0.5,0.06481100000000001,-0.00240305,0.909222,-0.0637285,-0.0117011
556,5.099999904632568,0.5,0.0661469,-0.00237867,0.911667,-0.059574199999999994,-0.0118212
557,5.199999809265137,0.5,0.0674847,-0.00235323,0.9141379999999999,-0.0552648,-0.011933299999999999
